Product,Price,Quantity,Subtotal,Link
,,,,
,,,,
,,,,
,,,,
NEO M8N GPS Module with Compass for APM ARDUPILOT,2100,1,2100,https://robocraze.com/products/neo-m8n-gps-module-with-compass-for-apm-ardupilot?_pos=4&_sid=d620c86a1&_ss=r
Dronacharya Vikas R&D DIY RC Drone Kit for Engineering Students and Researchers,53350,1,53350,https://robocraze.com/products/dronacharya-vikas-r-d-diy-rc-drone-kit-for-engineering-students-and-researchers
GY-87 10DOF Sensor Module MPU6050 HMC5883L BMP180,493,1,493,https://robu.in/product/mpu6050hmc5883lbmp180-10dof-3-axis-gyro-3-axis-acceleration-3-axis-magnetic-field-air-pres
MG90S 9g Servo Metal Gear - 180 Degree,244,4,976,https://robu.in/product/mg90s-9g-servo-metal-gear
Black Open Ended GT2 Belt Width 6mm with Steel Wire (Hard Handfeel),77,1,77,https://robu.in/product/black-open-ended-gt2-belt-width-6mm-with-steel-wire-hard-handfeel
Male to Male Jumper Wires 40Pcs 20cm,46,1,46,https://robu.in/product/male-to-male-jumper-wires-40pcs-20cm
Male to Female Jumper Wires 40Pcs 20cm,40,1,40,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm
10CM Female to Female Breadboard Jumper DuPont 2.54MM 1P-1P Cable 40 Pcs,38,1,38,https://robu.in/product/10cm-female-female-breadboard-jumper-dupont-2-54mm-1p-1p-cable-40-pcs
ESP8266 NodeMCU CP2102 Board,246,1,246,https://robu.in/product/nodemcu-cp2102-board
,,,,
,,TOTAL :-,57366,
